id,name,smiles,note
110,selleck_110,[C@]12(OC(=O)C)C3[C@](C(=O)[C@H](OC(=O)C)C4=C([C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c5ccccc5)c5ccccc5)C[C@@](O)([C@H]3OC(=O)c3ccccc3)C4(C)C)C)([C@@H](O)C[C@H]1OC2)C,
111,selleck_111,[C@]12(O)[C@@H]3OCC1=C/C=C/[C@@H](C(O[C@@H]1O[C@H](C(O[C@@H]4O[C@H]([C@H](O)[C@@H](OC)C4)C)[C@@H](OC)C1)C)/C(=C/C[C@H]1O[C@]4(O[C@@H]([C@H](C=C4)C)C4CCCCC4)C[C@@H](OC(=O)[C@@H]2C=C([C@H]3O)C)C1)/C)C,
112,selleck_112,[C@@H]12N[C@H](OC([C@H]1C)[C@](O)([C@H](OC(=O)[C@@H]([C@@H](O[C@@H]1O[C@H]([C@H](O)[C@](OC)(C1)C)C)[C@@H]([C@@H](O[C@@H]1O[C@@H](C[C@H](N(C)C)[C@H]1O)C)[C@](O)(C[C@H]2C)C)C)C)CC)C)COCCOC,
113,selleck_113,c1nc(c(O)c(c1CO)CO)C,
114,selleck_114,[C-]1(NC(=O)c2cc(c(O)cc2)CC=C(C)C)C(=O)c2c(OC1=O)c(c(OC1OC(C(OC)C(OC(=O)N)C1O)(C)C)cc2)C.[Na+],
115,selleck_115,[C@H](C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@@H](C(CO)(C)C)O)(C(CO)(C)C)O,
116,selleck_116,[C@H]1(c2c(cc3c(c2OC)OCO3)CC[NH+]1C)C1c2c(C(=O)O1)c(c(cc2)OC)OC.[Cl-],
117,selleck_117,[C@H]12SCC(=C(N1C(=O)[C@H]2N)C(=O)O)COC(=O)C,
118,selleck_118,[C@@H]1([C@@H]([C@H]([C@@H](O[C@@H]1C)O[C@H]1[C@H](C[C@H](C(=O)/C=C/C(=C/[C@@H]([C@H](OC(=O)C[C@H]([C@@H]1C)O)CC)CO[C@H]1[C@@H]([C@@H]([C@@H]([C@H](O1)C)O)OC)OC)/C)C)CC=O)O)N(C)C)O[C@H]1C[C@]([C@H]([C@@H](O1)C)O)(O)C,
119,selleck_119,[C@H]12[C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC[C@@]1(C(=O)CC2)C,
120,selleck_120,C(C1(Oc2c(c(c(c(c2CC1)C)OC(=O)C)C)C)C)CCC(CCCC(CCCC(C)C)C)C,
121,selleck_121,[C@@H]1(C2(O[C@@H]3[C@H](O[C@H]4[C@@H]([C@H](C[C@H]([C@@H]4O)N)NC)O)O[C@@H]([C@@H]([C@@H]3O2)O)CO)O[C@@H]([C@H](O)[C@H]1O)[C@H](CO)N)O,
122,selleck_122,[C@H]1([C@H]([C@H](O[C@H]2C[C@]([C@@H](O)[C@@H](O2)C)(OC)C)[C@H](C(=O)O[C@@H]([C@@](C)(O)[C@@H]([C@H](C(=O)[C@@H](C[C@@]1(C)O)C)C)O)CC)C)C)O[C@H]1[C@@H]([C@H](C[C@H](O1)C)N(C)C)O,
123,selleck_123,C1(OC(C2(OC3(OC(C(C(O)C3)C)C(C(OC)C(C)C(=O)[O-])C)CC2)C)CC1)(C1OC(CC1C)C1OC(O)(C(CC1C)C)CO)CC.[Na+],
124,selleck_124,[C@@]12([C@H]3[C@@H]([C@]4(C(C(=C(C)[C@H](C4)OC(=O)[C@@H]([C@H](c4ccccc4)NC(=O)OC(C)(C)C)O)[C@H](C(=O)[C@@]3([C@@H](O)C[C@H]1OC2)C)O)(C)C)O)OC(=O)c1ccccc1)OC(=O)C,
125,selleck_125,Cc1cc2c(cc1C)n(cn2)C1C(C(C(O1)CO)OP(=O)([O-])OC(C)CNC(=O)CCC1(C(C2C3(C(C(C(=C(C4=NC(=CC5=NC(=C(C1=N2)C)C(C5(C)C)CCC(=O)N)C(C4(C)CC(=O)N)CCC(=O)N)C)[N-]3)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],
126,selleck_126,[C@H]12[C@H]3[C@@H](c4c(cc(O)cc4)CC3)CC[C@@]1([C@@H](O)CC2)C,
127,selleck_127,CC1(C(=C(CCC1)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)C,
128,selleck_128,c1c(c(ccc1n1c(=O)n(c(=O)[nH]c1=O)C)Oc1ccc(cc1)SC(F)(F)F)C,
129,selleck_129,c1c(ccc(c1OC)O)CNC(=O)CCCC/C=C/C(C)C,
130,selleck_130,[C@@]12(O[C@H]([C@@H]([C@@H](O)C1)C(=O)O)C[C@@H](O[C@@H]1O[C@@H]([C@@H](O)[C@H](N)[C@@H]1O)C)/C=C\C=C/C=C\C=C/C=C\C=C/C=C\[C@@H]([C@@H](O)[C@H]([C@@H](OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C2)C)C)C)O,
131,selleck_131,[C@@H](c1cc(c(O)cc1)O)(CNC)O,
132,selleck_132,c1c2c(ccc1)C(=O)C(=C(C2=O)C/C=C(/CCCC(CCCC(CCCC(C)C)C)C)\C)C,
133,selleck_133,S=C=NCc1ccccc1,
134,selleck_134,c1nc2c(c(=O)n(C)c(=O)n2C)[nH]1,
135,selleck_135,[C@H]12O[C@H](O[C@H]3[C@@H]([C@@H](O)[C@@H](C[C@@H]3N)N)O)[C@@H](C[C@@H]1O[C@H](O[C@@H]1[C@@H]([C@@H](O)[C@@H]([C@H](O1)CO)N)O)[C@H]([C@H]2O)NC)N.O=S(=O)(O)O,
136,selleck_136,C(C(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)S,
137,selleck_137,[C@]12([C@H](/C(=C/C=C\3/C(=C)CC[C@@H](C3)O)/CCC1)CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C,
138,selleck_138,O=S(=O)(O)O.c1c(CC2NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC=O)CCN)CCO)CCN)CCNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC2=O)CC(C)C)CCN)CCN)CCO)CCN)cccc1,
